City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Porbandar,IN,2020-06-16 06:14:12,21.64,69.61,89.67,67,91,9.64
185,Avera,US,2020-06-16 06:14:12,33.19,-82.53,64.4,82,90,8.05
186,Amarpur,IN,2020-06-16 06:14:12,25.03,86.9,88.86,69,98,12.55
187,Inhambane,MZ,2020-06-16 06:14:12,-23.86,35.38,64.4,82,75,11.48
188,Virginia Beach,US,2020-06-16 06:14:13,36.85,-75.98,62.01,93,90,13.87
189,Alugan,PH,2020-06-16 06:14:13,12.22,125.48,84.97,69,50,8.25
190,Grindavik,IS,2020-06-16 06:14:14,63.84,-22.43,46.4,81,40,14.99
191,Banda Aceh,ID,2020-06-16 06:14:14,5.56,95.32,81.32,78,100,12.64
192,Abu Kamal,SY,2020-06-16 06:14:14,34.45,40.92,86.54,25,0,15.43
193,Tuatapere,NZ,2020-06-16 06:14:14,-46.13,167.68,52.16,87,63,5.86
194,Havelock,US,2020-06-16 06:14:15,34.88,-76.9,66.0,96,100,4.0
195,Bam,IR,2020-06-16 06:12:39,29.11,58.36,104.25,7,9,15.97
196,Kalmunai,LK,2020-06-16 06:14:15,7.42,81.82,91.56,52,100,4.27
197,Anadyr,RU,2020-06-16 06:14:15,64.75,177.48,57.2,58,53,11.18
198,Jibuti,DJ,2020-06-16 06:14:16,11.5,42.5,94.87,28,37,11.86
199,Lebu,CL,2020-06-16 06:14:16,-37.62,-73.65,52.32,87,31,12.57
200,Khatanga,RU,2020-06-16 06:14:16,71.97,102.5,56.84,47,80,13.69
201,Gizo,SB,2020-06-16 06:14:16,-8.1,156.84,82.31,75,71,12.12
202,Olafsvik,IS,2020-06-16 06:14:17,64.89,-23.71,45.91,75,23,18.88
203,San Patricio,MX,2020-06-16 06:14:17,19.22,-104.7,79.05,70,17,4.59
204,Moindou,NC,2020-06-16 06:14:17,-21.69,165.68,78.8,50,8,3.36
205,Fort Wellington,GY,2020-06-16 06:14:17,6.4,-57.6,78.01,86,62,5.86
206,East London,ZA,2020-06-16 06:14:17,-33.02,27.91,53.6,87,20,5.82
