City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
266,Shelburne,CA,44.08,-80.2,66.0,82,1,2.24,clear sky,0.0,0
267,Beira,MZ,-19.84,34.84,64.4,82,20,11.41,few clouds,0.0,0
268,Namibe,AO,-15.2,12.15,70.0,54,0,5.01,clear sky,0.0,0
269,Guerrero Negro,MX,27.98,-114.06,63.57,82,0,16.69,clear sky,0.0,0
270,Saint-Francois,FR,46.42,3.91,48.99,87,92,3.36,overcast clouds,0.0,0
271,Deputatskiy,RU,69.3,139.9,83.64,22,0,9.71,clear sky,0.0,0
272,Ransang,PH,8.96,117.58,87.87,61,86,4.99,overcast clouds,0.0,0
273,Erenhot,CN,43.65,111.98,95.41,13,33,13.73,scattered clouds,0.0,0
274,Nola,IT,40.92,14.53,64.0,79,67,2.1,broken clouds,0.0,0
275,Bilibino,RU,68.05,166.44,78.1,33,90,5.93,overcast clouds,0.0,0
276,Coahuayana,MX,18.73,-103.68,78.22,77,26,0.45,scattered clouds,0.0,0
277,Sangar,RU,63.92,127.47,77.97,38,43,6.15,scattered clouds,0.0,0
278,Bocas Del Toro,PA,9.33,-82.25,66.99,82,100,3.0,overcast clouds,0.0,0
279,Isangel,VU,-19.55,169.27,78.8,69,40,9.17,scattered clouds,0.0,0
280,Pitimbu,BR,-7.47,-34.81,77.56,80,38,16.64,scattered clouds,0.0,0
281,Shelopugino,RU,51.65,117.56,69.94,37,50,6.73,scattered clouds,0.0,0
282,Tara,RU,56.89,74.37,53.31,49,0,5.66,clear sky,0.0,0
283,Pandan,PH,14.05,124.17,87.03,70,16,6.29,light rain,0.53,0
284,Buchanan,LR,5.88,-10.05,76.12,87,100,2.08,light rain,0.22,0
285,Soloneshnoye,RU,51.65,84.32,48.94,87,100,1.5,light rain,0.66,0
286,Camacha,PT,33.08,-16.33,66.2,82,20,5.82,few clouds,0.0,0
287,Talnakh,RU,69.49,88.4,48.2,87,75,11.18,broken clouds,0.0,0
288,Ihosy,MG,-22.4,46.12,56.84,88,81,6.62,broken clouds,0.0,0
289,Khao Yoi,TH,13.24,99.82,87.8,62,20,4.7,few clouds,0.0,0
290,Kerrville,US,30.05,-99.14,77.0,73,1,9.17,clear sky,0.0,0
291,Kerns,CH,46.9,8.28,53.6,93,90,3.0,overcast clouds,0.0,0
292,Suruc,TR,36.98,38.42,64.4,72,0,7.74,clear sky,0.0,0
293,Mbeya,TZ,-8.9,33.45,52.68,90,46,5.37,scattered clouds,0.0,0
294,Ano Mera,GR,37.45,25.4,75.99,45,20,5.99,few clouds,0.0,0
295,Alekseyevka,RU,50.63,38.69,67.44,84,88,8.81,overcast clouds,0.0,0
296,Pokhara,NP,28.23,83.98,73.51,82,100,1.7,light rain,0.34,0
297,La Ronge,CA,55.1,-105.28,42.8,93,90,4.7,overcast clouds,0.0,0
298,Hovd,MN,48.01,91.64,68.47,29,76,6.02,broken clouds,0.0,0
299,Tynda,RU,55.17,124.72,52.86,88,100,4.85,moderate rain,2.37,0
300,Aswan,EG,24.09,32.91,78.17,27,0,9.01,clear sky,0.0,0
301,Abnub,EG,27.27,31.15,73.4,38,0,12.75,clear sky,0.0,0
302,Krasnyy Yar,RU,46.53,48.35,84.2,32,75,11.18,broken clouds,0.0,0
303,Ishigaki,JP,24.34,124.16,89.6,79,75,20.8,broken clouds,0.0,0
304,Nanortalik,GL,60.14,-45.24,38.43,92,100,14.97,overcast clouds,0.0,0
305,Tumalaytay,PH,12.28,123.23,89.28,59,61,5.28,broken clouds,0.0,0
306,Aksha,RU,50.28,113.29,70.14,50,99,6.93,overcast clouds,0.0,0
307,Provideniya,RU,64.38,-173.3,58.32,43,26,5.37,scattered clouds,0.0,0
308,Sabha,LY,27.04,14.43,80.35,16,0,10.94,clear sky,0.0,0
309,Saint Anthony,US,45.02,-93.22,71.6,56,75,8.05,broken clouds,0.0,0
310,Vinh,VN,18.67,105.67,93.72,52,92,2.95,overcast clouds,0.0,0
311,Ustka,PL,54.58,16.86,62.2,93,78,5.77,moderate rain,1.15,0
312,Puerto Escondido,MX,15.85,-97.07,81.66,78,98,3.74,light rain,0.58,0
